"과목 및 유형",2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024
"과목 및 유형",평  균 (만원),상위10% 이내 (만원),11 ~ 30% (만원),31 ~ 60% (만원),61 ~ 80% (만원),81 ~ 100% (만원),평  균 (만원),상위10% 이내 (만원),11 ~ 30% (만원),31 ~ 60% (만원),61 ~ 80% (만원),81 ~ 100% (만원),평  균 (만원),상위10% 이내 (만원),11 ~ 30% (만원),31 ~ 60% (만원),61 ~ 80% (만원),81 ~ 100% (만원),평  균 (만원),상위10% 이내 (만원),11 ~ 30% (만원),31 ~ 60% (만원),61 ~ 80% (만원),81 ~ 100% (만원),평  균 (만원),상위10% 이내 (만원),11 ~ 30% (만원),31 ~ 60% (만원),61 ~ 80% (만원),81 ~ 100% (만원),평  균 (만원),상위10% 이내 (만원),11 ~ 30% (만원),31 ~ 60% (만원),61 ~ 80% (만원),81 ~ 100% (만원)
"대상분포(%)",100.0,10.3,20.2,29.9,20.1,19.4,100.0,10.3,20.3,29.9,20.0,19.4,100.0,10.3,20.4,29.9,20.1,19.4,100.0,10.4,20.4,30.0,20.0,19.3,100.0,10.5,20.3,30.0,19.9,19.3,100.0,10.3,20.3,30.0,20.0,19.3
"사교육비",36.5,47.5,43.0,38.5,32.6,24.8,39.6,50.0,47.4,41.9,34.5,27.4,41.9,53.3,49.4,44.3,37.4,29.0,46.0,59.0,54.5,47.8,41.0,32.3,49.1,61.6,58.1,52.1,44.0,33.6,52.0,66.5,61.1,54.3,46.3,37.0
"과목: 일반교과 사교육",30.3,44.2,39.0,32.8,24.7,15.8,33.6,46.4,43.1,36.5,27.5,18.8,35.7,49.8,45.1,38.3,30.6,19.6,39.0,54.9,49.6,41.8,32.6,21.8,41.8,57.6,52.8,45.3,35.4,22.9,43.6,62.0,55.7,46.9,36.3,23.4
"국어",4.3,6.9,5.5,4.7,3.5,2.0,4.9,7.3,6.6,5.2,3.7,2.4,5.7,8.5,7.2,6.0,4.6,3.0,6.5,9.6,8.8,6.6,5.2,3.5,7.1,10.8,8.8,7.7,5.9,3.5,7.6,11.9,10.1,8.0,5.9,3.7
"영어",9.9,13.6,12.4,10.9,8.3,5.4,10.9,14.4,13.4,12.1,9.4,6.3,11.5,14.8,14.2,12.7,10.3,6.5,12.4,16.4,15.3,13.7,10.6,6.9,13.1,16.8,16.3,14.2,11.6,7.4,13.7,17.7,16.7,15.2,12.1,8.0
"수학",13.1,19.4,17.2,14.1,10.4,6.8,14.5,20.3,18.8,15.6,11.7,8.1,14.9,21.3,19.2,15.9,12.6,8.1,16.0,23.3,20.4,17.1,13.2,8.8,17.1,23.4,21.7,18.6,14.1,9.3,17.5,24.8,22.7,18.8,14.3,9.5
"사회, 과학",2.0,3.3,2.6,2.1,1.6,1.0,2.5,3.7,3.3,2.7,1.9,1.2,2.7,4.4,3.5,2.7,2.2,1.4,3.2,5.1,4.1,3.4,2.6,1.7,3.7,5.8,5.0,3.8,2.7,1.9,3.8,6.5,5.2,3.8,2.9,1.6
"유형: 일반교과 사교육",30.3,44.2,39.0,32.8,24.7,15.8,33.6,46.4,43.1,36.5,27.5,18.8,35.7,49.8,45.1,38.3,30.6,19.6,39.0,54.9,49.6,41.8,32.6,21.8,41.8,57.6,52.8,45.3,35.4,22.9,43.6,62.0,55.7,46.9,36.3,23.4
"개인과외",5.8,7.3,6.7,5.9,5.4,4.2,6.1,6.8,7.2,6.5,6.0,4.3,6.8,8.3,7.6,7.4,6.1,4.7,7.0,9.0,8.1,7.2,6.5,5.1,6.9,7.6,8.3,7.1,6.6,5.0,6.9,7.9,7.4,7.5,6.6,5.5
"학원수강",21.4,32.0,28.2,23.7,16.9,10.1,24.1,34.8,31.7,26.3,18.8,12.6,25.3,36.1,33.2,26.8,21.6,13.0,28.2,41.0,37.0,30.5,22.6,14.4,30.9,44.6,39.5,33.9,25.2,15.4,33.0,49.6,43.5,35.4,26.6,15.9
"유료인터넷 및 통신강좌 등",0.6,0.9,0.7,0.6,0.5,0.4,0.7,1.0,0.8,0.6,0.5,0.5,1.1,1.5,1.2,1.2,1.0,0.8,1.3,1.7,1.5,1.4,1.2,0.9,1.5,1.8,1.8,1.5,1.3,1.0,1.4,2.0,1.8,1.5,1.1,0.8
